Route,Station,CPID,Power,Distance,Price,Green,Booking
A-B,CS_A-B_1,CS_AB_1_1,50,43,0.74,0,0
A-B,CS_A-B_1,CS_AB_1_2,50,43,0.74,0,0
A-B,CS_A-B_1,CS_AB_1_3,25,43,0.74,0,0
A-B,CS_A-B_2,CS_AB_2_1,50,54,0.74,0,0
A-B,CS_A-B_2,CS_AB_2_2,50,54,0.74,0,0
A-B,CS_A-B_2,CS_AB_2_3,50,54,0.74,0,0
A-B,CS_A-B_2,CS_AB_2_4,50,54,0.74,0,0
A-B,CS_A-B_2,CS_AB_2_5,16,54,0.74,0,0
A-B,CS_A-B_2,CS_AB_2_6,16,54,0.74,0,0
B-C,CS_B-C_1,CS_BC_1_1,22,71,0.74,0,0
B-C,CS_B-C_1,CS_BC_1_2,22,71,0.74,0,0
B-C,CS_B-C_1,CS_BC_1_3,22,71,0.74,0,0
B-C,CS_B-C_1,CS_BC_1_4,22,71,0.74,0,0
B-C,CS_B-C_2,CS_BC_2_1,22,98,0.74,0,0
B-C,CS_B-C_2,CS_BC_2_2,22,98,0.74,0,0
B-C,CS_B-C_2,CS_BC_2_3,22,98,0.74,0,0
B-C,CS_B-C_2,CS_BC_2_4,22,98,0.74,0,0
B-C,CS_B-C_2,CS_BC_2_5,22,98,0.74,0,0
B-C,CS_B-C_2,CS_BC_2_6,22,98,0.74,0,0
C-D,CS_C-D_1,CS_CD_1_1,350,43,0.74,0,0
C-D,CS_C-D_1,CS_CD_1_1,350,43,0.74,0,0
C-D,CS_C-D_1,CS_CD_1_1,350,43,0.74,0,0
C-D,CS_C-D_1,CS_CD_1_1,350,43,0.74,0,0
C-D,CS_C-D_2,CS_CD_2_1,320,77,0.74,0,0
C-D,CS_C-D_3,CS_CD_3_1,50,99,0.74,0,0
C-D,CS_C-D_3,CS_CD_3_2,50,99,0.74,0,0
C-D,CS_C-D_3,CS_CD_3_3,50,99,0.74,0,0
C-D,CS_C-D_3,CS_CD_3_4,50,99,0.74,0,0
C-D,CS_C-D_3,CS_CD_3_5,16,99,0.35,0,0
C-D,CS_C-D_3,CS_CD_3_6,11,99,0.35,0,0
D-E,CS_D-E_1,CS_DE_1_1,60,69,0.74,0,0
D-E,CS_D-E_1,CS_DE_1_2,7.4,69,0.35,0,0
D-E,CS_D-E_1,CS_DE_1_3,7.4,69,0.35,0,0
D-B,CS_D-B_1,CS_DB_1_1,50,35,0.74,0,0
D-B,CS_D-B_1,CS_DB_1_1,50,35,0.74,0,0
D-B,CS_D-B_1,CS_DB_1_2,50,35,0.74,0,0
E-B,CS_E-B_1,CS_EB_1_1,120,130,0.74,0,0
E-B,CS_E-B_1,CS_EB_1_2,120,130,0.74,0,0
E-B,CS_E-B_1,CS_EB_1_3,120,130,0.74,0,0
E-F,CS_E-F_1,CS_EF_1_1,120,40,0.74,0,0
E-F,CS_E-F_1,CS_EF_1_2,120,40,0.74,0,0
E-F,CS_E-F_1,CS_EF_1_3,120,40,0.74,0,0
E-F,CS_E-F_1,CS_EF_1_4,120,40,0.74,0,0
D-F,CS_D-F_1,CS_DF_1_1,120,20,0.74,0,0
D-F,CS_D-F_1,CS_DF_1_2,120,20,0.74,0,0
D-F,CS_D-F_1,CS_DF_1_3,120,20,0.74,0,0
D-F,CS_D-F_1,CS_DF_1_4,120,20,0.74,0,0
D-F,CS_D-F_1,CS_DF_1_5,120,20,0.74,0,0
D-F,CS_D-F_1,CS_DF_1_6,120,20,0.74,0,0
F-A,CS_F-A_1,CS_FA_1_1,44,22,0.74,0,0
F-A,CS_F-A_1,CS_FA_1_2,44,22,0.74,0,0
F-A,CS_F-A_1,CS_FA_1_3,50,22,0.74,0,0
F-A,CS_F-A_2,CS_FA_2_1,120,55,0.74,0,0
F-A,CS_F-A_2,CS_FA_2_2,120,55,0.74,0,0
F-A,CS_F-A_2,CS_FA_2_3,120,55,0.74,0,0
F-A,CS_F-A_2,CS_FA_2_4,120,55,0.74,0,0
