Route,Station,CPID,Power,Distance,Price,Green,Booking
A-B,CS_A-B_1,CS_AB_1_1,22,40,70.4,0,0
A-B,CS_A-B_1,CS_AB_1_2,7,40,0.32,0,0

A-C,CS_A-C_1,CS_AC_1_1,22,40,70.4,10,0
A-C,CS_A-C_1,CS_AC_1_2,22,40,70.4,10,0
A-C,CS_A-C_1,CS_AC_1_3,50,40,70.4,10,0

A-C,CS_A-C_2,CS_AC_2_1,22,40,70.4,10,0
A-C,CS_A-C_2,CS_AC_2_2,22,40,70.4,10,0

A-D,CS_A-D_1,CS_AD_1_1,22,40,70.4,30,0
A-D,CS_A-D_1,CS_AD_1_2,22,40,70.4,30,0
A-D,CS_A-D_1,CS_AD_1_3,50,40,70.4,30,0

A-D,CS_A-D_2,CS_AD_2_1,22,40,70.4,30,0
A-D,CS_A-D_2,CS_AD_2_2,22,40,70.4,30,0
A-D,CS_A-D_2,CS_AD_2_3,50,40,70.4,30,0

B-C,CS_B-C_1,CS_BC_1_1,50,30,70.4,0,0
B-C,CS_B-C_1,CS_BC_1_2,50,30,70.4,0,0

B-C,CS_B-C_2,CS_BC_2_1,22,30,70.4,10,0
B-C,CS_B-C_2,CS_BC_2_2,22,30,70.4,10,0
B-C,CS_B-C_2,CS_BC_2_3,50,30,70.4,10,0

B-D,CS_B-D_1,CS_BD_1_1,7,30,0.32,100,0

C-D,CS_C-D_1,CS_CD_1_1,22,30,70.4,0,0
C-D,CS_C-D_1,CS_CD_1_2,22,30,70.4,0,0
