Route,Station,CPID,Power,Distance,Price,Green,Booking
A-B,CS_A-B_1,CS_AB_1_1,7,40,6,0,0
A-B,CS_A-B_1,CS_AB_1_2,7,40,6,0,0
A-B,CS_A-B_1,CS_AB_1_3,60,40,10,0,0
A-B,CS_A-B_2,CS_AB_2_1,7,20,6,0,0
A-B,CS_A-B_2,CS_AB_2_2,7,20,6,0,0
A-B,CS_A-B_3,CS_AB_3_1,7,50,6,0,0
A-B,CS_A-B_3,CS_AB_3_2,7,50,6,0,0
A-B,CS_A-B_3,CS_AB_3_3,60,50,10,0,0
A-B,CS_A-B_4,CS_AB_4_1,7,10,6,0,0
A-B,CS_A-B_4,CS_AB_4_2,7,10,6,0,0
A-B,CS_A-B_4,CS_AB_4_3,60,10,10,0,0
A-B,CS_A-B_5,CS_AB_5_1,7,30,6,0,0
A-B,CS_A-B_5,CS_AB_5_2,7,30,6,0,0
A-B,CS_A-B_5,CS_AB_5_3,7,30,6,0,0
A-C,CS_A-C_1,CS_AC_1_1,7,40,6,0,0
A-C,CS_A-C_1,CS_AC_1_2,7,40,6,0,0
A-C,CS_A-C_2,CS_AC_2_1,7,20,6,0,0
A-C,CS_A-C_2,CS_AC_2_2,7,20,6,0,0
A-C,CS_A-C_3,CS_AC_3_1,7,10,6,0,0
A-C,CS_A-C_3,CS_AC_3_2,7,10,6,0,0
A-C,CS_A-C_4,CS_AC_4_1,7,50,6,0,0
A-C,CS_A-C_4,CS_AC_4_2,7,50,6,0,0



Pre 24-04 
