,EVs Charging,EVs Activated,EVs Travelling,EVs Queued,EVs Charge Level,EVs Currently charging,EVs Not Idle,EOD Battery SOC,EVs Destinations,EVs at Charging Station - S,Length of Queue 1 at Charging Stations,Length of Queue 2 at Charging Stations,EVs at Charging Stations
0,0,2,0,0,"[62, 54]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
1,0,2,0,0,"[62, 54]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
2,0,2,0,0,"[62, 54]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
3,0,2,0,0,"[62, 54]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
4,0,2,0,0,"[62, 54]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
5,0,2,0,0,"[62, 54]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
6,0,2,0,0,"[62, 54]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
7,0,2,0,0,"[62, 54]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
8,0,2,1,0,"[52.0, 54]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
9,0,2,1,0,"[42.0, 54]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
10,0,2,1,0,"[32.0, 54]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
11,0,2,1,0,"[22.0, 54]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
12,0,2,2,0,"[12.0, 52.0]",0,2,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
13,1,2,1,0,"[9.5, 50.0]",0,2,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
14,1,2,1,0,"[17.0, 48.0]",0,2,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
15,1,2,1,0,"[24.5, 46.0]",0,2,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
16,1,2,0,0,"[32.0, 44.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
17,1,2,0,0,"[39.5, 44.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
